env;wc2.1_30s_bio_1;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9;ALT;LAT;LON;ALLSKY_SFC_LW_DWN;ALLSKY_SFC_SW_DWN;PRECTOTCORR;RH2M;T2M;T2MDEW;T2M_MAX;T2M_MIN;WS2M;bdod_0-5cm_mean_30s;bdod_15-30cm_mean_30s;bdod_30-60cm_mean_30s;bdod_5-15cm_mean_30s;cfvo_0-5cm_mean_30s;cfvo_15-30cm_mean_30s;cfvo_30-60cm_mean_30s;cfvo_5-15cm_mean_30s;clay_15-30cm_mean_30s;clay_30-60cm_mean_30s;clay_5-15cm_mean_30s;nitrogen_0-5cm_mean_30s;nitrogen_15-30cm_mean_30s;nitrogen_30-60cm_mean_30s;nitrogen_5-15cm_mean_30s;ocd_0-5cm_mean_30s;ocd_15-30cm_mean_30s;ocd_30-60cm_mean_30s;ocd_5-15cm_mean_30s;phh2o_0-5cm_mean_30s;phh2o_15-30cm_mean_30s;phh2o_30-60cm_mean_30s;phh2o_5-15cm_mean_30s;sand_0-5cm_mean_30s;sand_15-30cm_mean_30s;sand_30-60cm_mean_30s;sand_5-15cm_mean_30s;SBIO2_Mean_Diurnal_Range_5_15cm;SBIO3_Isothermality_5_15cm;SBIO4_Temperature_Seasonality_5_15cm;silt_0-5cm_mean_30s;silt_15-30cm_mean_30s;silt_30-60cm_mean_30s;silt_5-15cm_mean_30s;soc_0-5cm_mean_30s;soc_15-30cm_mean_30s;soc_30-60cm_mean_30s;soc_5-15cm_mean_30s;soilT_1_5_15cm;soilT_10_5_15cm;soilT_11_5_15cm;soilT_12_5_15cm;soilT_2_5_15cm;soilT_3_5_15cm
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
E0211;27.025;28.783;25.517;1195;188;5;65.802;478;41;225;439;9.867;66.667;128.125;35.2;20.4;14.8;26.55;27.533;135;7.649;-1.165;35.2275;17.6575;3.206666667;70.7025;27.11125;20.25583333;35.73083333;20.29416667;1.847916667;1.399999976;1.5;1.600000024;1.5;14;21;23;16;21;27;19;2.299999952;1.799999952;1.799999952;2.799999952;2.599999905;1;0.699999988;2;6.099999905;6;6;6.099999905;54;57;52;58;2;24.60000038;220.8000031;22;22;21;22;40.70000076;23.29999924;23.60000038;43.59999847;295;261;309;294;302;304
