env;wc2.1_30s_bio_1;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9
E082;23.23;24.37;22.23;1196.00;155.00;28.00;42.40;412.00;119.00;164.00;373.00;11.97;80.31;84.49;31.70;16.80;14.90;22.42;24.02
E083;22.08;22.67;21.28;1422.00;210.00;62.00;39.35;502.00;227.00;297.00;227.00;10.48;84.54;55.28;28.40;16.00;12.40;22.43;21.28
E084;24.06;25.63;22.60;1385.00;198.00;17.00;53.06;573.00;89.00;137.00;529.00;11.02;73.44;118.63;32.50;17.50;15.00;23.03;25.25
E085;21.69;22.33;20.90;1217.00;161.00;59.00;33.70;413.00;203.00;239.00;224.00;10.98;82.58;57.48;28.60;15.30;13.30;22.02;22.08
E086;22.72;23.23;22.32;1026.00;143.00;36.00;41.40;353.00;153.00;174.00;303.00;11.40;87.02;40.42;29.60;16.50;13.10;22.48;22.92
E087;22.50;25.47;18.15;561.00;119.00;3.00;93.71;333.00;19.00;303.00;19.00;13.39;61.15;311.71;31.50;9.60;21.90;25.47;18.15
E088;18.00;21.20;13.47;876.00;230.00;0.00;116.71;603.00;2.00;507.00;2.00;13.74;58.73;329.42;27.80;4.40;23.40;21.10;13.47
E089;23.01;24.95;21.78;1974.00;335.00;9.00;73.04;923.00;42.00;298.00;923.00;10.34;58.43;144.43;32.20;14.50;17.70;21.78;23.40
E090;23.68;24.65;22.62;1699.00;309.00;26.00;63.14;680.00;107.00;391.00;435.00;8.13;76.73;81.48;29.60;19.00;10.60;23.27;24.27
E091;23.53;24.70;22.40;1626.00;298.00;19.00;65.66;664.00;85.00;365.00;448.00;8.23;74.17;91.29;29.90;18.80;11.10;22.70;24.23
E092;20.15;22.57;16.77;855.00;210.00;0.00;118.57;592.00;2.00;261.00;2.00;12.28;58.45;233.53;29.90;8.90;21.00;21.55;16.77
E093;19.99;22.70;16.38;940.00;237.00;0.00;114.66;631.00;3.00;299.00;3.00;12.67;58.64;255.51;29.80;8.20;21.60;21.62;16.38
E094;23.19;25.73;19.97;949.00;265.00;0.00;128.11;686.00;1.00;230.00;2.00;11.04;57.81;230.81;32.20;13.10;19.10;24.40;21.28
E095;19.34;21.52;15.92;1187.00;246.00;10.00;94.63;690.00;44.00;362.00;55.00;10.62;58.66;239.25;27.90;9.80;18.10;21.20;17.23
E096;21.69;24.62;18.50;977.00;240.00;0.00;118.84;671.00;0.00;95.00;5.00;12.59;57.24;243.91;32.40;10.40;22.00;22.40;18.57
E097;20.19;22.88;16.55;910.00;231.00;0.00;115.89;613.00;4.00;281.00;4.00;12.48;58.84;256.23;29.70;8.50;21.20;21.83;16.55
E098;20.43;23.02;17.05;836.00;224.00;0.00;123.05;595.00;2.00;236.00;3.00;12.14;58.66;238.95;29.80;9.10;20.70;21.92;18.52
E099;21.01;23.73;17.52;844.00;207.00;0.00;121.66;596.00;2.00;249.00;2.00;12.34;57.67;249.24;30.80;9.40;21.40;22.52;17.52
E0100;20.15;23.03;16.33;973.00;234.00;3.00;117.06;665.00;11.00;281.00;11.00;11.54;55.76;270.42;30.30;9.60;20.70;21.80;16.33
E0101;22.31;24.80;18.85;1487.00;286.00;16.00;91.31;828.00;63.00;419.00;77.00;12.88;61.02;244.01;33.20;12.10;21.10;23.78;20.15
E0102;23.23;24.37;22.23;1196.00;155.00;28.00;42.40;412.00;119.00;164.00;373.00;11.97;80.31;84.49;31.70;16.80;14.90;22.42;24.02
E0102;23.23;24.37;22.23;1196.00;155.00;28.00;42.40;412.00;119.00;164.00;373.00;11.97;80.31;84.49;31.70;16.80;14.90;22.42;24.02
E0102;23.23;24.37;22.23;1196.00;155.00;28.00;42.40;412.00;119.00;164.00;373.00;11.97;80.31;84.49;31.70;16.80;14.90;22.42;24.02
E0103;20.58;23.55;16.83;808.00;207.00;0.00;118.55;569.00;0.00;106.00;5.00;13.57;56.06;274.32;32.00;7.80;24.20;21.80;16.95
E0104;20.47;23.15;16.85;1132.00;265.00;0.00;113.31;745.00;0.00;167.00;6.00;15.42;59.30;256.58;32.40;6.40;26.00;21.50;17.02
E0105;20.73;23.73;16.87;811.00;209.00;0.00;118.92;572.00;0.00;102.00;5.00;13.87;55.47;283.63;32.50;7.50;25.00;22.08;16.97
E0106;20.80;23.85;16.90;808.00;210.00;0.00;118.95;570.00;0.00;98.00;6.00;13.48;54.78;287.46;32.40;7.80;24.60;22.13;16.95
E0107;20.49;22.78;18.40;1295.00;268.00;0.00;107.58;778.00;0.00;167.00;10.00;12.73;62.11;171.98;30.70;10.20;20.50;20.47;18.43
E0108;20.66;23.57;17.08;874.00;223.00;0.00;121.41;625.00;0.00;113.00;5.00;14.09;57.99;262.90;32.20;7.90;24.30;21.73;17.20
E0109;18.08;20.90;13.90;849.00;217.00;1.00;112.48;569.00;3.00;479.00;3.00;13.05;58.26;301.54;27.80;5.40;22.40;20.77;13.90
E0110;21.87;24.78;17.60;541.00;115.00;4.00;97.82;339.00;15.00;293.00;15.00;14.03;61.28;306.54;31.70;8.80;22.90;24.67;17.60
E0110;21.87;24.78;17.60;541.00;115.00;4.00;97.82;339.00;15.00;293.00;15.00;14.03;61.28;306.54;31.70;8.80;22.90;24.67;17.60
E0111;18.00;21.20;13.47;876.00;230.00;0.00;116.71;603.00;2.00;507.00;2.00;13.74;58.73;329.42;27.80;4.40;23.40;21.10;13.47
